Frame,Visibility,X,Y,Hit,Hit_position_x,Hit_position_y,Top_x,Top_y,Bot_x,Bot_y,Top_box_lefttop,Top_box_rightbot,Bot_box_lefttop,Bot_box_rightbot
0,0,0,0,0,0,0,143,274,0,0,"[354, 173]","[397, 260]","[0, 0]","[0, 0]"
1,0,0,0,0,0,0,141,275,35,423,"[355, 170]","[393, 259]","[156, 164]","[174, 198]"
2,0,0,0,0,0,0,145,276,35,423,"[353, 169]","[391, 260]","[156, 164]","[174, 198]"
3,1,601,681,0,0,0,145,276,0,0,"[353, 168]","[389, 260]","[0, 0]","[0, 0]"
4,1,593,684,0,0,0,146,276,0,0,"[353, 167]","[388, 260]","[0, 0]","[0, 0]"
5,1,587,686,0,0,0,145,276,0,0,"[354, 168]","[388, 260]","[0, 0]","[0, 0]"
6,1,1119,487,0,0,0,142,276,0,0,"[355, 167]","[388, 259]","[0, 0]","[0, 0]"
7,1,1013,437,0,0,0,144,275,0,0,"[356, 163]","[390, 260]","[0, 0]","[0, 0]"
8,1,916,396,0,0,0,144,275,0,0,"[357, 167]","[391, 260]","[0, 0]","[0, 0]"
9,1,847,371,0,0,0,140,275,0,0,"[359, 166]","[391, 259]","[0, 0]","[0, 0]"
10,1,786,356,0,0,0,128,276,0,0,"[363, 171]","[391, 255]","[0, 0]","[0, 0]"
11,1,735,352,0,0,0,121,276,0,0,"[366, 172]","[390, 253]","[0, 0]","[0, 0]"
12,1,697,348,0,0,0,126,275,83,419,"[369, 172]","[391, 255]","[142, 166]","[158, 204]"
13,1,663,354,0,0,0,140,273,95,417,"[369, 164]","[392, 260]","[140, 168]","[156, 206]"
14,1,633,365,0,0,0,140,273,0,0,"[369, 167]","[392, 260]","[0, 0]","[0, 0]"
15,1,603,382,0,0,0,137,273,0,0,"[368, 167]","[394, 259]","[0, 0]","[0, 0]"
16,1,569,415,0,0,0,146,272,0,0,"[368, 169]","[394, 262]","[0, 0]","[0, 0]"
17,1,550,439,Bot,514,636,140,273,79,434,"[368, 170]","[394, 260]","[127, 167]","[145, 201]"
18,0,0,0,0,0,0,139,272,98,429,"[369, 168]","[396, 260]","[124, 166]","[142, 204]"
19,1,680,377,0,0,0,139,272,91,434,"[369, 166]","[397, 260]","[121, 166]","[139, 202]"
20,1,773,342,0,0,0,145,272,84,440,"[369, 165]","[397, 262]","[118, 167]","[137, 200]"
21,1,848,314,0,0,0,144,271,78,446,"[369, 165]","[398, 262]","[115, 168]","[135, 199]"
22,1,461,707,Bot,468,718,139,272,203,393,"[368, 166]","[397, 260]","[112, 166]","[136, 227]"
23,1,975,285,0,0,0,146,272,104,439,"[365, 168]","[397, 262]","[111, 172]","[131, 203]"
24,1,1030,282,0,0,0,140,273,217,392,"[367, 168]","[396, 260]","[105, 170]","[132, 230]"
25,1,1083,289,0,0,0,140,273,221,391,"[366, 171]","[396, 260]","[104, 171]","[131, 231]"
26,1,1130,299,0,0,0,146,273,225,390,"[365, 166]","[394, 262]","[103, 170]","[130, 232]"
27,1,1177,318,0,0,0,139,274,226,390,"[362, 164]","[394, 259]","[103, 168]","[128, 232]"
28,1,1219,342,0,0,0,134,275,220,393,"[361, 170]","[393, 257]","[103, 169]","[126, 230]"
29,1,1279,388,0,0,0,135,276,223,392,"[359, 171]","[390, 257]","[102, 169]","[127, 231]"
30,1,1313,428,0,0,0,133,277,217,395,"[359, 166]","[387, 256]","[102, 168]","[128, 229]"
31,1,1344,466,Top,1406,807,130,277,220,393,"[359, 167]","[385, 255]","[102, 169]","[127, 230]"
32,1,1262,434,0,0,0,133,277,223,392,"[359, 166]","[385, 256]","[103, 168]","[127, 231]"
33,1,1138,356,0,0,0,134,277,214,396,"[360, 167]","[383, 256]","[103, 168]","[126, 228]"
34,1,1051,310,0,0,0,128,278,217,394,"[359, 169]","[382, 254]","[103, 168]","[126, 229]"
35,1,975,278,0,0,0,129,278,220,393,"[358, 169]","[382, 254]","[104, 168]","[126, 230]"
36,1,918,259,0,0,0,0,0,220,393,"[0, 0]","[0, 0]","[104, 168]","[125, 230]"
37,1,869,247,0,0,0,0,0,220,393,"[0, 0]","[0, 0]","[104, 168]","[125, 230]"
38,1,824,247,0,0,0,0,0,217,395,"[0, 0]","[0, 0]","[104, 169]","[125, 229]"
39,1,788,249,0,0,0,0,0,217,395,"[0, 0]","[0, 0]","[103, 169]","[125, 229]"
40,1,748,259,0,0,0,0,0,220,393,"[0, 0]","[0, 0]","[103, 169]","[126, 230]"
41,1,724,272,0,0,0,0,0,217,394,"[0, 0]","[0, 0]","[103, 170]","[126, 229]"
42,1,451,534,Bot,432,722,0,0,214,396,"[0, 0]","[0, 0]","[103, 172]","[126, 228]"
43,1,669,325,0,0,0,0,0,214,396,"[0, 0]","[0, 0]","[103, 173]","[126, 228]"
44,1,648,354,0,0,0,142,278,213,396,"[356, 166]","[378, 258]","[104, 174]","[128, 228]"
45,1,633,390,0,0,0,145,277,205,398,"[356, 168]","[378, 259]","[105, 175]","[130, 226]"
46,1,618,426,0,0,0,148,277,205,395,"[356, 168]","[378, 260]","[106, 176]","[136, 227]"
47,1,608,464,0,0,0,145,277,201,393,"[357, 170]","[377, 259]","[110, 175]","[138, 226]"
48,1,599,500,0,0,0,139,278,197,392,"[358, 170]","[376, 257]","[115, 175]","[140, 226]"
49,1,599,536,Bot,497,715,139,278,194,391,"[357, 170]","[376, 257]","[120, 175]","[143, 226]"
50,1,691,464,0,0,0,136,278,188,391,"[358, 172]","[376, 256]","[122, 174]","[147, 225]"
51,1,480,713,Bot,516,728,134,279,204,383,"[357, 169]","[376, 255]","[127, 167]","[146, 230]"
52,1,824,377,0,0,0,131,280,110,421,"[356, 170]","[375, 254]","[128, 170]","[145, 207]"
53,1,884,344,0,0,0,134,279,201,382,"[355, 171]","[376, 255]","[131, 164]","[149, 230]"
54,1,939,323,0,0,0,128,280,94,427,"[355, 172]","[375, 253]","[128, 169]","[147, 204]"
55,1,1005,308,0,0,0,132,280,96,423,"[354, 169]","[373, 254]","[133, 171]","[149, 205]"
56,1,1051,306,0,0,0,124,282,0,0,"[352, 170]","[372, 251]","[0, 0]","[0, 0]"
57,1,1092,314,0,0,0,128,282,0,0,"[347, 170]","[374, 252]","[0, 0]","[0, 0]"
58,1,1134,325,0,0,0,125,283,0,0,"[346, 173]","[373, 251]","[0, 0]","[0, 0]"
59,1,1170,344,0,0,0,120,284,196,379,"[345, 173]","[372, 249]","[138, 169]","[156, 230]"
60,1,1204,369,0,0,0,120,284,209,374,"[345, 172]","[371, 249]","[138, 168]","[156, 234]"
61,1,1236,396,0,0,0,123,283,208,374,"[345, 170]","[371, 250]","[139, 166]","[155, 234]"
62,1,1266,430,0,0,0,120,284,208,374,"[346, 172]","[369, 249]","[140, 165]","[155, 234]"
63,1,1291,472,Top,1355,791,123,283,204,374,"[347, 171]","[370, 250]","[141, 164]","[156, 233]"
64,0,0,0,0,0,0,120,284,201,376,"[348, 172]","[367, 249]","[140, 162]","[157, 232]"
65,1,1085,377,0,0,0,120,284,201,376,"[348, 171]","[368, 249]","[140, 165]","[157, 232]"
66,1,979,331,0,0,0,123,283,195,378,"[347, 171]","[369, 250]","[139, 166]","[157, 230]"
67,1,911,308,0,0,0,132,282,199,377,"[347, 171]","[371, 253]","[137, 168]","[157, 231]"
68,1,826,289,0,0,0,124,282,163,393,"[348, 173]","[374, 251]","[135, 167]","[154, 222]"
69,1,777,280,0,0,0,126,281,127,409,"[351, 171]","[375, 252]","[133, 167]","[151, 213]"
70,1,737,280,0,0,0,132,280,92,426,"[353, 171]","[375, 254]","[131, 167]","[148, 204]"
71,1,699,291,0,0,0,129,280,99,424,"[353, 172]","[376, 253]","[130, 169]","[146, 205]"
72,0,0,0,0,0,0,128,280,88,429,"[354, 171]","[376, 253]","[130, 166]","[146, 203]"
73,1,640,323,0,0,0,131,279,78,434,"[356, 171]","[376, 254]","[129, 164]","[145, 201]"
74,1,620,344,0,0,0,125,280,84,432,"[357, 172]","[375, 252]","[128, 163]","[145, 202]"
75,1,601,371,0,0,0,128,280,80,435,"[358, 170]","[375, 253]","[126, 166]","[144, 201]"
76,1,584,401,0,0,0,121,280,85,432,"[357, 166]","[376, 251]","[127, 167]","[144, 202]"
77,1,569,432,0,0,0,139,278,79,434,"[357, 166]","[377, 257]","[127, 167]","[145, 201]"
78,1,557,462,Bot,508,639,142,278,86,433,"[355, 167]","[378, 258]","[126, 165]","[143, 202]"
79,1,637,430,0,0,0,142,278,91,431,"[355, 167]","[378, 258]","[126, 165]","[143, 203]"
80,1,731,382,0,0,0,142,278,92,431,"[355, 167]","[378, 258]","[126, 165]","[142, 203]"
81,1,847,335,0,0,0,130,279,97,429,"[355, 166]","[378, 254]","[125, 167]","[143, 204]"
82,1,913,316,0,0,0,118,281,200,385,"[356, 165]","[378, 250]","[128, 162]","[146, 229]"
83,1,971,306,0,0,0,113,281,200,385,"[355, 164]","[378, 248]","[127, 162]","[146, 229]"
84,1,1028,301,0,0,0,109,282,108,425,"[355, 163]","[378, 247]","[124, 168]","[143, 206]"
85,1,1081,306,0,0,0,99,283,97,429,"[355, 164]","[378, 244]","[125, 169]","[143, 204]"
86,1,1130,316,0,0,0,118,281,98,429,"[356, 167]","[377, 250]","[124, 169]","[143, 204]"
